,n_arms,epsilon,true_winner_idx,winner_idx,true_winner_ctr,winner_ctr,traffic,wins,baseline
208,3.0,0.6,2.0,2.0,0.25076303764939745,0.25076303764939745,1004.0,222.0,0.20582647035625912
209,3.0,0.6,0.0,0.0,0.2217193677044088,0.2217193677044088,11500.0,2307.0,0.20055597411197268
210,3.0,0.6,1.0,1.0,0.17165864697795138,0.17165864697795138,32652.0,5101.0,0.1524418162907771
211,3.0,0.6,1.0,1.0,0.2782041936322177,0.2782041936322177,1085.0,261.0,0.2244903994526614
212,3.0,0.6,0.0,0.0,0.2563715989638875,0.2563715989638875,1004.0,204.0,0.20048144710599067
213,3.0,0.6,2.0,2.0,0.24885445381692617,0.24885445381692617,2911.0,682.0,0.22913652195166642
214,3.0,0.6,0.0,0.0,0.2680603989195217,0.2680603989195217,1056.0,228.0,0.2305090090312988
215,3.0,0.6,1.0,1.0,0.2682541735844597,0.2682541735844597,1795.0,428.0,0.23525278123863527
216,3.0,0.6,0.0,0.0,0.17163258888019056,0.17163258888019056,4197.0,572.0,0.1455841924323031
217,3.0,0.6,0.0,0.0,0.24670467633217485,0.24670467633217485,100003.0,24044.0,0.2388897775745904
218,3.0,0.6,0.0,0.0,0.23665836340419383,0.23665836340419383,4484.0,1016.0,0.22455442005097645
219,3.0,0.6,2.0,2.0,0.2720311398915862,0.2720311398915862,3390.0,817.0,0.23560310816768695
220,3.0,0.6,0.0,0.0,0.20213661912224817,0.20213661912224817,1461.0,270.0,0.174734173103146
221,3.0,0.6,2.0,2.0,0.25572258316839375,0.25572258316839375,10378.0,2343.0,0.22274075021004433
222,3.0,0.6,2.0,2.0,0.16623338749719258,0.16623338749719258,1004.0,125.0,0.12037225688285587
223,3.0,0.6,2.0,2.0,0.23737466256818807,0.23737466256818807,2294.0,499.0,0.1945126656465691
224,3.0,0.7000000000000001,0.0,0.0,0.2528942452825615,0.2528942452825615,1004.0,181.0,0.1879272510476423
225,3.0,0.7000000000000001,1.0,1.0,0.22886923574036735,0.22886923574036735,1028.0,208.0,0.20082550582970657
226,3.0,0.7000000000000001,0.0,0.0,0.21557493132909183,0.21557493132909183,1004.0,168.0,0.17937216694932998
