n_arms,true_winner_idx,winner_idx,true_winner_ctr,winner_ctr,traffic,wins,baseline,conversion
110.0,108.0,108.0,0.3598906076007904,0.3598906076007904,23737.0,6862.0,0.20633118615853407,0.28908455154400303
110.0,25.0,25.0,0.3388976901415568,0.3388976901415568,23803.0,6480.0,0.19933962419968773,0.2722345922782842
110.0,8.0,8.0,0.3273635991628072,0.3273635991628072,23881.0,6402.0,0.19235894177040996,0.2680792261630585
110.0,30.0,30.0,0.33564710666639397,0.33564710666639397,40704.0,11471.0,0.20608461517047164,0.28181505503144655
120.0,116.0,116.0,0.3491946902489387,0.3491946902489387,16881.0,4208.0,0.19899091600223562,0.2492743320893312
120.0,100.0,100.0,0.3513027330977876,0.3513027330977876,19037.0,5172.0,0.20098263659444443,0.2716814624152965
120.0,112.0,112.0,0.3401833856229455,0.3401833856229455,19625.0,5140.0,0.20041734192518376,0.2619108280254777
120.0,27.0,27.0,0.31528824265953226,0.31528824265953226,7795.0,1721.0,0.1893387897469267,0.22078255291853752
130.0,118.0,118.0,0.3398398667950307,0.3398398667950307,74057.0,22642.0,0.20513872778912276,0.30573747248740835
130.0,78.0,113.0,0.36143117177884876,0.3265082354582447,10229.0,2406.0,0.2061376194765789,0.23521360836836444
130.0,35.0,35.0,0.34233562948487317,0.34233562948487317,53249.0,16176.0,0.20718411827947403,0.3037803526826795
130.0,60.0,60.0,0.31258319016938646,0.31258319016938646,22865.0,5469.0,0.1923780063453516,0.23918652963043954
140.0,90.0,34.0,0.37550467846796387,0.29841939906508685,16406.0,4412.0,0.20358800770104127,0.2689260026819456
140.0,49.0,49.0,0.31886368667941123,0.31886368667941123,100000.0,28425.0,0.20096761673504046,0.28425
140.0,41.0,41.0,0.35774197739156843,0.35774197739156843,11108.0,2492.0,0.18875352302861265,0.22434281598847677
140.0,72.0,72.0,0.32162030782459794,0.32162030782459794,56136.0,15195.0,0.2068573560120799,0.2706819153484395
150.0,65.0,65.0,0.3361061526912277,0.3361061526912277,100000.0,30326.0,0.20523689675995965,0.30326
150.0,53.0,53.0,0.3389063029649908,0.3389063029649908,52524.0,15599.0,0.20368488067004772,0.29698804356103875
150.0,50.0,50.0,0.33476952915254865,0.33476952915254865,41254.0,11010.0,0.20165136469315717,0.26688321132496245
150.0,84.0,51.0,0.3192600355227316,0.2766534265086155,100000.0,28335.0,0.20369125960266038,0.28335
160.0,48.0,48.0,0.3625338306036483,0.3625338306036483,56092.0,17686.0,0.20221501163646555,0.3153034300791557
160.0,70.0,139.0,0.30493712582811705,0.25338034931108666,100000.0,27086.0,0.19899562697212567,0.27086
160.0,58.0,58.0,0.3307104879107731,0.3307104879107731,51714.0,14046.0,0.1962350620838169,0.27160923541014037
160.0,151.0,151.0,0.3302473763075662,0.3302473763075662,32472.0,8667.0,0.1959091153346141,0.2669068736141907
170.0,35.0,35.0,0.337627773257555,0.337627773257555,35591.0,9222.0,0.2026269827983484,0.2591104492708831
170.0,160.0,160.0,0.3044202059556199,0.3044202059556199,75157.0,19302.0,0.19338442219470625,0.25682238514043937
170.0,112.0,89.0,0.32553093510832865,0.22642543006232552,15407.0,3621.0,0.1965813023528212,0.2350230414746544
170.0,159.0,159.0,0.31418107924216804,0.31418107924216804,100000.0,28008.0,0.19892904756428095,0.28008
180.0,169.0,172.0,0.35151232962879747,0.34241982519282294,78632.0,24362.0,0.19809240563047775,0.3098229728354868
180.0,89.0,40.0,0.3351034264206877,0.33325276666573217,100000.0,30253.0,0.19973716698706692,0.30253
180.0,146.0,20.0,0.31682412559915973,0.31514580103420897,100000.0,27555.0,0.20626371198695131,0.27555
180.0,25.0,28.0,0.3129447137619063,0.3016152439863288,100000.0,26721.0,0.19665785442809106,0.26721
190.0,112.0,112.0,0.32106539057258787,0.32106539057258787,100000.0,28292.0,0.20289361245092705,0.28292
190.0,135.0,135.0,0.3181653175810559,0.3181653175810559,35992.0,8731.0,0.19752612236900954,0.24258168481884862
190.0,171.0,171.0,0.3206865243111717,0.3206865243111717,77274.0,21048.0,0.20817688348636737,0.27238139607112355
190.0,33.0,33.0,0.3398295227472889,0.3398295227472889,14617.0,3364.0,0.19101576564260692,0.23014298419648355
200.0,77.0,77.0,0.3380425918235025,0.3380425918235025,38058.0,9704.0,0.19744880126687356,0.25497924220925955
200.0,110.0,110.0,0.32507962986955286,0.32507962986955286,100000.0,27937.0,0.19892195643378696,0.27937
200.0,63.0,63.0,0.3346710437537017,0.3346710437537017,64192.0,18052.0,0.19973528177431318,0.28121884346959125
200.0,173.0,179.0,0.3344413842795298,0.3293884268707503,100000.0,29960.0,0.19663960034008426,0.2996
