n_arms,true_winner_idx,winner_idx,traffic,wins,baseline,conversion
6.0,3.0,3.0,6435.0,1282.0,0.17388916001016821,0.19922299922299921
6.0,0.0,0.0,5242.0,1418.0,0.24034845216442677,0.2705074399084319
6.0,3.0,3.0,4720.0,1240.0,0.21858302601946486,0.2627118644067797
6.0,4.0,4.0,1933.0,431.0,0.18545030296963436,0.22296947749612003
6.0,1.0,5.0,3789.0,1153.0,0.24417574532308275,0.3043019266297176
6.0,4.0,4.0,22175.0,5007.0,0.17464107038905755,0.22579481397970688
8.0,7.0,7.0,3924.0,877.0,0.1990968465695766,0.22349643221202853
8.0,6.0,6.0,21526.0,6287.0,0.23697126053049677,0.2920654092725077
8.0,7.0,5.0,1741.0,445.0,0.21640551978175282,0.2556002297530155
8.0,3.0,5.0,13566.0,3658.0,0.1994768624815389,0.26964469998525725
8.0,3.0,3.0,4798.0,1066.0,0.1930851064582661,0.22217590662776157
8.0,7.0,7.0,6873.0,1502.0,0.1835239067456308,0.2185363014695184
8.0,5.0,5.0,1453.0,350.0,0.1934258927396888,0.24088093599449414
8.0,2.0,1.0,10013.0,2679.0,0.21403257579009843,0.2675521821631879
8.0,1.0,1.0,1447.0,369.0,0.21012147897436229,0.25501036627505186
8.0,3.0,2.0,60117.0,13400.0,0.18336445890571634,0.22289868090556747
8.0,2.0,2.0,6873.0,1553.0,0.20853284877104894,0.22595664193219847
8.0,6.0,6.0,16921.0,4306.0,0.20473408732712567,0.2544766857750724
8.0,0.0,0.0,1002.0,260.0,0.19433197821576195,0.25948103792415167
8.0,5.0,5.0,5343.0,1412.0,0.22434798678432422,0.26427100879655624
8.0,1.0,1.0,3055.0,740.0,0.22161501573686243,0.24222585924713586
8.0,5.0,5.0,2871.0,793.0,0.2307724430943138,0.2762103796586555
8.0,6.0,6.0,23068.0,5484.0,0.20305114159784693,0.23773192301023063
8.0,0.0,0.0,92671.0,24524.0,0.20964199573224157,0.2646351069913997
8.0,2.0,2.0,14599.0,3316.0,0.1843939057870661,0.22713884512637852
8.0,3.0,0.0,10328.0,2345.0,0.1868272959192509,0.22705267234701781
8.0,2.0,2.0,100000.0,24280.0,0.18212051486999326,0.2428
8.0,2.0,2.0,4013.0,848.0,0.18312892344728499,0.21131323199601296
8.0,3.0,3.0,3362.0,1015.0,0.22386864569851775,0.30190362879238547
8.0,3.0,3.0,2718.0,754.0,0.22447742347998742,0.27740986019131714
8.0,6.0,4.0,100000.0,23510.0,0.20852668890761625,0.2351
8.0,7.0,7.0,35849.0,8398.0,0.17823100212540532,0.23426036988479457
8.0,3.0,4.0,1605.0,352.0,0.19112256905714697,0.2193146417445483
8.0,5.0,5.0,3921.0,1055.0,0.19879993916409172,0.2690640142820709
8.0,6.0,6.0,2206.0,556.0,0.19199032101612748,0.25203989120580234
8.0,0.0,2.0,2006.0,510.0,0.1832865839856811,0.2542372881355932
8.0,1.0,1.0,12983.0,2956.0,0.2057951414922735,0.22768235384733881
8.0,5.0,5.0,1596.0,575.0,0.21208410167354314,0.36027568922305764
10.0,6.0,6.0,20141.0,5033.0,0.19190767248243354,0.24988828757261308
10.0,7.0,7.0,3893.0,918.0,0.1985963187998724,0.23580786026200873
10.0,7.0,7.0,100000.0,24758.0,0.1963765092024607,0.24758
10.0,0.0,0.0,1298.0,354.0,0.21699750515111518,0.2727272727272727
10.0,4.0,4.0,3421.0,1028.0,0.22179810487348145,0.3004969307220111
10.0,0.0,0.0,3999.0,998.0,0.1892443758538627,0.24956239059764943
10.0,4.0,4.0,2350.0,644.0,0.23888904018099888,0.27404255319148935
10.0,0.0,0.0,13554.0,3248.0,0.20528429160943804,0.2396340563671241
10.0,6.0,6.0,5642.0,1453.0,0.20631528869806517,0.2575327897908543
10.0,3.0,3.0,9492.0,2844.0,0.22149881368102015,0.2996207332490518
10.0,5.0,5.0,41552.0,9014.0,0.19046887155568654,0.2169329996149403
10.0,5.0,5.0,11408.0,3240.0,0.22227733743480443,0.28401122019635344
10.0,6.0,6.0,2183.0,486.0,0.20115041876768364,0.22262940907008705
