n_arms,true_winner_idx,winner_idx,traffic,wins,baseline,conversion
8.0,2.0,2.0,13521.0,3048.0,0.18312892344728499,0.22542711337918794
8.0,3.0,3.0,2508.0,720.0,0.22386864569851775,0.28708133971291866
8.0,3.0,3.0,5102.0,1310.0,0.22447742347998742,0.25676205409643277
8.0,6.0,6.0,80800.0,18422.0,0.20852668890761625,0.2279950495049505
8.0,7.0,7.0,25394.0,5749.0,0.17823100212540532,0.22639206111679924
8.0,3.0,3.0,14014.0,3245.0,0.19112256905714697,0.2315541601255887
8.0,5.0,5.0,1925.0,510.0,0.19879993916409172,0.2649350649350649
8.0,6.0,2.0,1011.0,239.0,0.19199032101612748,0.23639960435212662
8.0,0.0,0.0,2865.0,770.0,0.1832865839856811,0.268760907504363
8.0,1.0,1.0,100008.0,22901.0,0.2057951414922735,0.22899168066554676
8.0,5.0,5.0,6003.0,2082.0,0.21208410167354314,0.3468265867066467
10.0,6.0,6.0,100010.0,24331.0,0.19190767248243354,0.2432856714328567
10.0,7.0,7.0,24457.0,6155.0,0.1985963187998724,0.25166618963895815
10.0,7.0,7.0,100010.0,23987.0,0.1963765092024607,0.23984601539846015
10.0,0.0,0.0,55740.0,16165.0,0.21699750515111518,0.2900071761750987
10.0,4.0,4.0,26008.0,7871.0,0.22179810487348145,0.30263764995386033
10.0,0.0,0.0,2377.0,602.0,0.1892443758538627,0.2532604122843921
10.0,4.0,4.0,12069.0,3644.0,0.23888904018099888,0.3019305659126688
10.0,0.0,0.0,77944.0,19015.0,0.20528429160943804,0.24395720004105512
10.0,6.0,6.0,3348.0,802.0,0.20631528869806517,0.23954599761051373
10.0,3.0,3.0,1061.0,265.0,0.22149881368102015,0.24976437323279924
10.0,5.0,3.0,100010.0,21640.0,0.19046887155568654,0.21637836216378362
10.0,5.0,5.0,56455.0,16145.0,0.22227733743480443,0.2859799840580994
10.0,6.0,6.0,2618.0,528.0,0.20115041876768364,0.20168067226890757
10.0,6.0,8.0,100010.0,21777.0,0.18888520417982654,0.21774822517748224
10.0,4.0,4.0,66960.0,17932.0,0.21091343259941014,0.2678016726403823
10.0,9.0,9.0,4974.0,1309.0,0.20037580007377,0.26316847607559307
10.0,8.0,8.0,8053.0,2219.0,0.1877077223008426,0.27554948466410034
10.0,3.0,3.0,13813.0,3165.0,0.18833048542055011,0.22913197712300007
10.0,4.0,3.0,1632.0,417.0,0.18038566483145174,0.2555147058823529
10.0,1.0,1.0,1467.0,353.0,0.21095606528465027,0.24062713019768234
10.0,7.0,6.0,1057.0,244.0,0.21172984863296854,0.23084200567644275
10.0,0.0,0.0,1589.0,380.0,0.1866982155111602,0.23914411579609818
10.0,4.0,4.0,35059.0,9160.0,0.19378304241156968,0.2612738526483927
10.0,6.0,6.0,9462.0,2157.0,0.17865947367351548,0.22796448953709575
10.0,2.0,2.0,14935.0,4264.0,0.20368702684531015,0.2855038500167392
10.0,7.0,7.0,29147.0,8653.0,0.22664799325032042,0.29687446392424605
10.0,3.0,3.0,36658.0,8203.0,0.18912431231103918,0.22377107316274755
10.0,5.0,5.0,100010.0,20282.0,0.17143659181480497,0.2027997200279972
10.0,3.0,8.0,100010.0,27467.0,0.2039160089761151,0.27464253574642533
